timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:56:44.5872213 +0300 EAT m=+505.191804001,-0.20492345,-0.37235662,-0.18593556,-58.869846,19.062292,-0.6151559
2022-12-19 14:56:44.6820964 +0300 EAT m=+505.286679101,-0.20454536,-0.30977628,-0.18533513,-58.788387,19.124777,-0.79603887
2022-12-19 14:56:44.789874 +0300 EAT m=+505.394456701,-0.14565817,-0.2714571,-0.09854695,-45.39125,24.281816,-0.18854949
2022-12-19 14:56:44.8897227 +0300 EAT m=+505.494305401,-0.05730577,-0.1318075,0.0040847044,-22.38017,23.231916,0.29144537
2022-12-19 14:56:44.9889692 +0300 EAT m=+505.593551901,-0.17870796,-0.27359873,-0.16942187,-50.57133,14.314079,-0.73769593
2022-12-19 14:56:45.0905314 +0300 EAT m=+505.695114101,-0.35414913,-0.4969903,-0.46417972,-86.66619,-12.6346,-2.4693294
2022-12-19 14:56:45.1946264 +0300 EAT m=+505.799209101,-0.2963282,-0.35535258,-0.3804304,-73.35679,-8.013532,-2.19164
2022-12-19 14:56:45.3141751 +0300 EAT m=+505.917658901,-0.25995934,-0.36727872,-0.31235832,-66.6097,-0.216242,-1.6123862
2022-12-19 14:56:45.4064709 +0300 EAT m=+506.011053601,-0.14158389,-0.23970674,-0.12078304,-41.484413,15.627793,-0.42492285
2022-12-19 14:56:45.4892923 +0300 EAT m=+506.093875001,-0.2137652,-0.31928384,-0.22374916,-58.26638,10.388882,-1.0495244
2022-12-19 14:56:45.6162665 +0300 EAT m=+506.220849201,-0.3018138,-0.42903817,-0.403495,-73.02415,-13.294971,-2.1418955
2022-12-19 14:56:45.6941508 +0300 EAT m=+506.298733501,-0.28187948,-0.38620687,-0.3305729,-73.08354,2.3627257,-1.7288632
2022-12-19 14:56:45.7959461 +0300 EAT m=+506.400528801,-0.33189747,-0.4704637,-0.4288428,-81.872086,-9.871067,-2.2582617
2022-12-19 14:56:45.9056707 +0300 EAT m=+506.510253401,-0.35675272,-0.3836525,-0.48984408,-84.95536,-19.803907,-2.9861312
2022-12-19 14:56:45.9937869 +0300 EAT m=+506.598369601,-0.18504465,-0.31439638,-0.1821761,-51.652596,12.659404,-0.7173962
