timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:55:45.9435221 +0300 EAT m=+446.548104801,-0.26388666,-0.46286318,-0.2831608,-71.19481,10.5884905,-1.1388254
2022-12-19 14:55:46.0433562 +0300 EAT m=+446.647938901,-0.29782218,-0.54775095,-0.31731677,-80.58865,12.664917,-1.1946152
2022-12-19 14:55:46.1516384 +0300 EAT m=+446.756221101,-0.18458192,-0.31956857,-0.18906637,-50.748314,10.280526,-0.74785453
2022-12-19 14:55:46.2499599 +0300 EAT m=+446.854542601,-0.23590405,-0.36672398,-0.28133368,-60.66975,0.47257847,-1.3495055
2022-12-19 14:55:46.3887692 +0300 EAT m=+446.993351901,-0.21231247,-0.35095322,-0.2348982,-56.533527,6.264045,-1.0280591
2022-12-19 14:55:46.4787637 +0300 EAT m=+447.083346401,-0.33468667,-0.4581371,-0.43013245,-82.80431,-9.210942,-2.309843
2022-12-19 14:55:46.5484214 +0300 EAT m=+447.153004101,-0.10277416,-0.21043456,-0.07888654,-31.040419,14.141361,-0.14051795
2022-12-19 14:55:46.6451888 +0300 EAT m=+447.249771501,-0.34386232,-0.47185263,-0.44021857,-85.25449,-8.918896,-2.3581376
2022-12-19 14:55:46.7668627 +0300 EAT m=+447.371445401,-0.4228421,-0.55747664,-0.58358437,-100.37749,-24.454834,-3.254605
2022-12-19 14:55:46.852075 +0300 EAT m=+447.456657701,-0.30355898,-0.40872046,-0.39370745,-74.72534,-9.49566,-2.1395645
2022-12-19 14:55:46.9657034 +0300 EAT m=+447.570286101,-0.26289877,-0.42965046,-0.29639363,-69.42012,5.992584,-1.325205
2022-12-19 14:55:47.0468229 +0300 EAT m=+447.651405601,-0.10458782,-0.2627977,-0.04767804,-35.028152,24.78908,0.22309604
2022-12-19 14:55:47.151186 +0300 EAT m=+447.755768701,-0.117290765,-0.21257356,-0.084895395,-35.966503,17.785025,-0.20736331
2022-12-19 14:55:47.2510338 +0300 EAT m=+447.855616501,-0.14066342,-0.328841,-0.095100366,-43.841846,23.453999,0.016390402
2022-12-19 14:55:47.3540959 +0300 EAT m=+447.958678601,-0.27407822,-0.43773082,-0.31908116,-71.30811,3.0299354,-1.4803711
2022-12-19 14:55:47.4519466 +0300 EAT m=+448.056529301,-0.28151822,-0.39154437,-0.3676762,-69.030106,-9.625205,-1.964472
2022-12-19 14:55:47.5573416 +0300 EAT m=+448.161924301,-0.2080394,-0.28885505,-0.2559215,-52.67852,-2.0713022,-1.3458499
2022-12-19 14:55:47.6582978 +0300 EAT m=+448.262880501,-0.14595698,-0.23272033,-0.15419136,-39.6342,6.637133,-0.68254894
2022-12-19 14:55:47.7626151 +0300 EAT m=+448.367197801,-0.26125187,-0.35122347,-0.33459496,-64.758385,-6.8177342,-1.8141203
2022-12-19 14:55:47.8553917 +0300 EAT m=+448.459974401,-0.3914178,-0.4871031,-0.51259965,-95.8316,-13.812058,-2.9109213
2022-12-19 14:55:47.9555225 +0300 EAT m=+448.560105201,-0.15538342,-0.2815793,-0.13058701,-45.735386,17.774836,-0.3980002
2022-12-19 14:55:48.0620721 +0300 EAT m=+448.666654801,0.027899144,-0.08388621,0.15688786,-5.868641,39.386475,1.3778892
